#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03445273,0.03,64.21560,100000.00000
0.250,0.03445273,0.35,11.40750,100000.00000
0.250,0.03445273,0.06,75.13398,100000.00000
0.250,0.03445273,0.29,161.42191,100000.00000
0.250,0.03445273,0.08,124.36879,100000.00000
0.250,0.03445273,0.51,125.53565,100000.00000
0.250,0.03445273,0.12,173.45160,100000.00000
0.250,0.03445273,0.46,46.41978,100000.00000
0.250,0.03445273,0.50,33.32393,100000.00000
0.250,0.03445273,0.58,113.72643,52349.93322
0.250,0.03445273,0.09,95.33710,100000.00000
0.250,0.03445273,0.19,31.93912,100000.00000
0.250,0.03445273,0.08,31.38596,100000.00000
0.250,0.03445273,0.54,141.54210,100000.00000
0.250,0.03445273,0.41,132.75023,100000.00000
0.250,0.03445273,0.26,138.41773,100000.00000
0.250,0.03445273,0.46,161.01940,100000.00000
0.250,0.03445273,0.28,63.10576,100000.00000
0.250,0.03445273,0.23,156.34784,100000.00000
0.250,0.03445273,0.54,110.41405,100000.00000
0.250,0.03445273,0.38,44.72805,100000.00000
0.250,0.03445273,0.48,89.34592,100000.00000
0.250,0.03445273,0.22,135.60807,100000.00000
0.250,0.03445273,0.29,32.73842,100000.00000
0.250,0.03445273,0.08,114.03535,100000.00000
0.250,0.03445273,0.32,102.74009,100000.00000
0.250,0.03445273,0.01,54.83048,100000.00000
0.250,0.03445273,0.38,22.94796,100000.00000
0.250,0.03445273,0.45,61.52712,100000.00000
0.250,0.03445273,0.39,3.25983,100000.00000
0.250,0.03445273,0.08,121.96158,100000.00000
0.250,0.03445273,0.60,49.25280,81649.01806
0.250,0.03445273,0.42,101.67140,100000.00000
0.250,0.03445273,0.54,33.55889,100000.00000
0.250,0.03445273,0.22,84.35892,100000.00000
0.250,0.03445273,0.13,92.04163,100000.00000
0.250,0.03445273,0.03,69.96191,100000.00000
0.250,0.03445273,0.02,161.06892,100000.00000
0.250,0.03445273,0.43,28.10747,100000.00000
0.250,0.03445273,0.48,108.56738,100000.00000
0.250,0.03445273,0.30,82.94018,100000.00000
0.250,0.03445273,0.45,48.25145,100000.00000
0.250,0.03445273,0.31,80.53423,100000.00000
0.250,0.03445273,0.60,81.24966,12394.63867
0.250,0.03445273,0.04,21.52696,100000.00000
0.250,0.03445273,0.33,44.27239,100000.00000
0.250,0.03445273,0.57,135.48899,100000.00000
0.250,0.03445273,0.06,41.02833,100000.00000
0.250,0.03445273,0.49,24.62735,100000.00000
0.250,0.03445273,0.49,147.43842,100000.00000
0.250,0.03445273,0.53,75.19802,100000.00000
0.250,0.03445273,0.34,100.21732,100000.00000
0.250,0.03445273,0.30,31.86189,100000.00000
0.250,0.03445273,0.23,94.98620,100000.00000
0.250,0.03445273,0.12,168.50786,100000.00000
0.250,0.03445273,0.42,37.78301,100000.00000
0.250,0.03445273,0.21,18.20208,100000.00000
0.250,0.03445273,0.40,168.18606,100000.00000
0.250,0.03445273,0.02,46.58040,100000.00000
0.250,0.03445273,0.47,37.15583,100000.00000
0.250,0.03445273,0.11,31.87992,100000.00000
0.250,0.03445273,0.27,20.44037,100000.00000
0.250,0.03445273,0.52,138.09389,100000.00000
0.250,0.03445273,0.01,11.70929,100000.00000
0.250,0.03445273,0.48,70.07321,100000.00000
0.250,0.03445273,0.39,72.15326,100000.00000
0.250,0.03445273,0.44,149.43958,100000.00000
0.250,0.03445273,0.10,28.94545,100000.00000
0.250,0.03445273,0.31,95.78043,100000.00000
0.250,0.03445273,0.33,73.87143,100000.00000
0.250,0.03445273,0.29,85.31310,100000.00000
0.250,0.03445273,0.02,163.67767,100000.00000
0.250,0.03445273,0.47,31.56683,100000.00000
0.250,0.03445273,0.00,107.75853,100000.00000
0.250,0.03445273,0.38,130.00546,100000.00000
0.250,0.03445273,0.14,112.12029,100000.00000
0.250,0.03445273,0.14,94.00379,100000.00000
0.250,0.03445273,0.11,88.65318,100000.00000
0.250,0.03445273,0.44,43.77099,100000.00000
0.250,0.03445273,0.02,119.25401,100000.00000
