#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03273676,0.23,94.98620,100000.00000
0.250,0.03273676,0.02,46.58040,100000.00000
0.250,0.03273676,0.01,11.70929,100000.00000
0.250,0.03273676,0.52,138.09389,100000.00000
0.250,0.03273676,0.31,95.78043,100000.00000
0.250,0.03273676,0.39,72.15326,100000.00000
0.250,0.03273676,0.21,18.20208,100000.00000
0.250,0.03273676,0.10,28.94545,100000.00000
0.250,0.03273676,0.27,20.44037,100000.00000
0.250,0.03273676,0.34,100.21732,100000.00000
0.250,0.03273676,0.29,85.31310,100000.00000
0.250,0.03273676,0.14,112.12029,100000.00000
0.250,0.03273676,0.02,119.25401,100000.00000
0.250,0.03273676,0.48,70.07321,100000.00000
0.250,0.03273676,0.38,130.00546,100000.00000
0.250,0.03273676,0.11,88.65318,100000.00000
0.250,0.03273676,0.21,13.09734,100000.00000
0.250,0.03273676,0.47,157.30021,100000.00000
0.250,0.03273676,0.26,68.56035,100000.00000
0.250,0.03273676,0.33,73.87143,100000.00000
0.250,0.03273676,0.00,107.75853,100000.00000
0.250,0.03273676,0.09,20.42523,100000.00000
0.250,0.03273676,0.44,43.77099,100000.00000
0.250,0.03273676,0.24,175.39106,100000.00000
0.250,0.03273676,0.42,179.43736,100000.00000
0.250,0.03273676,0.38,143.51317,100000.00000
0.250,0.03273676,0.14,94.00379,100000.00000
0.250,0.03273676,0.37,96.02300,100000.00000
0.250,0.03273676,0.02,163.67767,100000.00000
0.250,0.03273676,0.20,162.45952,100000.00000
0.250,0.03273676,0.60,138.67334,24670.40631
0.250,0.03273676,0.19,77.21892,100000.00000
0.250,0.03273676,0.06,39.97941,100000.00000
0.250,0.03273676,0.49,19.18769,100000.00000
0.250,0.03273676,0.24,112.96045,100000.00000
0.250,0.03273676,0.52,112.95098,100000.00000
0.250,0.03273676,0.42,74.63234,100000.00000
0.250,0.03273676,0.17,115.63547,100000.00000
0.250,0.03273676,0.23,21.15472,100000.00000
0.250,0.03273676,0.07,120.98440,100000.00000
0.250,0.03273676,0.03,139.00406,100000.00000
0.250,0.03273676,0.03,144.39546,100000.00000
0.250,0.03273676,0.38,133.91033,100000.00000
0.250,0.03273676,0.44,52.76659,100000.00000
0.250,0.03273676,0.59,156.87662,100000.00000
0.250,0.03273676,0.24,162.20844,100000.00000
0.250,0.03273676,0.28,26.47323,100000.00000
0.250,0.03273676,0.23,40.24725,100000.00000
0.250,0.03273676,0.04,114.76035,100000.00000
0.250,0.03273676,0.04,76.95738,100000.00000
0.250,0.03273676,0.09,130.67202,100000.00000
0.250,0.03273676,0.11,160.56838,100000.00000
0.250,0.03273676,0.14,138.59884,100000.00000
0.250,0.03273676,0.08,106.36073,100000.00000
0.250,0.03273676,0.59,174.39801,93856.14971
0.250,0.03273676,0.23,174.47446,100000.00000
0.250,0.03273676,0.25,163.96689,100000.00000
0.250,0.03273676,0.15,28.15867,100000.00000
0.250,0.03273676,0.20,171.01115,100000.00000
0.250,0.03273676,0.34,109.91161,100000.00000
0.250,0.03273676,0.25,123.25161,100000.00000
0.250,0.03273676,0.40,166.60233,100000.00000
0.250,0.03273676,0.42,11.82756,100000.00000
0.250,0.03273676,0.16,44.59158,100000.00000
0.250,0.03273676,0.59,175.22801,48804.62523
0.250,0.03273676,0.25,155.89150,100000.00000
0.250,0.03273676,0.33,161.41778,100000.00000
0.250,0.03273676,0.06,93.38231,100000.00000
0.250,0.03273676,0.55,10.41168,100000.00000
0.250,0.03273676,0.28,88.58093,100000.00000
0.250,0.03273676,0.32,116.26510,100000.00000
0.250,0.03273676,0.09,147.10000,100000.00000
0.250,0.03273676,0.40,103.73190,100000.00000
0.250,0.03273676,0.60,3.98224,100000.00000
0.250,0.03273676,0.53,170.99301,100000.00000
0.250,0.03273676,0.29,31.01758,100000.00000
0.250,0.03273676,0.31,87.21414,100000.00000
0.250,0.03273676,0.23,174.57819,100000.00000
0.250,0.03273676,0.42,15.36294,100000.00000
0.250,0.03273676,0.08,168.61140,100000.00000
0.250,0.03273676,0.20,113.73070,100000.00000
0.250,0.03273676,0.26,10.14759,100000.00000
0.250,0.03273676,0.02,56.10799,100000.00000
0.250,0.03273676,0.35,178.19284,100000.00000
0.250,0.03273676,0.56,155.18297,100000.00000
0.250,0.03273676,0.42,84.97205,100000.00000
0.250,0.03273676,0.00,33.01281,100000.00000
0.250,0.03273676,0.05,56.58408,100000.00000
0.250,0.03273676,0.48,53.48191,100000.00000
0.250,0.03273676,0.55,71.32356,30381.43958
0.250,0.03273676,0.47,75.37869,100000.00000
0.250,0.03273676,0.28,141.05754,100000.00000
0.250,0.03273676,0.34,76.57856,100000.00000
0.250,0.03273676,0.14,160.20096,100000.00000
0.250,0.03273676,0.55,104.41552,100000.00000
0.250,0.03273676,0.58,176.61351,34388.03557
0.250,0.03273676,0.30,10.99403,100000.00000
0.250,0.03273676,0.08,113.81505,100000.00000
0.250,0.03273676,0.56,130.21562,37957.88142
0.250,0.03273676,0.36,64.58949,100000.00000
0.250,0.03273676,0.43,32.74706,100000.00000
0.250,0.03273676,0.16,118.83553,100000.00000
0.250,0.03273676,0.58,149.78415,61973.00192
0.250,0.03273676,0.35,60.58877,100000.00000
0.250,0.03273676,0.22,139.88645,100000.00000
0.250,0.03273676,0.53,122.33651,100000.00000
0.250,0.03273676,0.30,113.02207,100000.00000
0.250,0.03273676,0.13,145.82041,100000.00000
0.250,0.03273676,0.46,87.73762,100000.00000
0.250,0.03273676,0.43,72.13735,100000.00000
0.250,0.03273676,0.10,116.93392,100000.00000
0.250,0.03273676,0.27,111.26308,100000.00000
0.250,0.03273676,0.14,67.60493,100000.00000
0.250,0.03273676,0.34,51.95350,100000.00000
0.250,0.03273676,0.58,1.14946,100000.00000
0.250,0.03273676,0.38,102.58014,100000.00000
0.250,0.03273676,0.17,12.70237,100000.00000
0.250,0.03273676,0.28,78.74549,100000.00000
0.250,0.03273676,0.04,155.35862,100000.00000
0.250,0.03273676,0.48,47.20753,100000.00000
0.250,0.03273676,0.53,177.79003,100000.00000
0.250,0.03273676,0.23,94.15761,100000.00000
0.250,0.03273676,0.53,132.76481,100000.00000
0.250,0.03273676,0.46,21.19519,100000.00000
0.250,0.03273676,0.18,3.27993,100000.00000
0.250,0.03273676,0.21,15.13922,100000.00000
0.250,0.03273676,0.33,109.03947,100000.00000
0.250,0.03273676,0.31,67.91115,100000.00000
0.250,0.03273676,0.25,145.89960,100000.00000
0.250,0.03273676,0.36,119.73550,100000.00000
0.250,0.03273676,0.51,152.01889,100000.00000
0.250,0.03273676,0.58,97.42798,13271.51031
0.250,0.03273676,0.19,167.53632,100000.00000
0.250,0.03273676,0.20,90.94543,100000.00000
0.250,0.03273676,0.48,64.02109,100000.00000
0.250,0.03273676,0.27,120.90612,100000.00000
0.250,0.03273676,0.57,62.60566,10600.32966
0.250,0.03273676,0.19,139.75433,100000.00000
0.250,0.03273676,0.21,88.99565,100000.00000
