#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01706406,0.12,77.07315,100000.00000
0.250,0.01706406,0.31,92.10194,100000.00000
0.250,0.01706406,0.30,49.83798,100000.00000
0.250,0.01706406,0.50,32.50356,100000.00000
0.250,0.01706406,0.46,48.36192,100000.00000
0.250,0.01706406,0.54,63.02255,100000.00000
0.250,0.01706406,0.01,52.58604,100000.00000
0.250,0.01706406,0.31,80.53423,100000.00000
0.250,0.01706406,0.08,168.61140,100000.00000
0.250,0.01706406,0.04,88.88321,100000.00000
0.250,0.01706406,0.15,150.47642,100000.00000
0.250,0.01706406,0.51,11.76414,100000.00000
0.250,0.01706406,0.04,94.09191,100000.00000
0.250,0.01706406,0.06,174.92077,100000.00000
0.250,0.01706406,0.08,124.36879,100000.00000
0.250,0.01706406,0.31,134.54477,100000.00000
0.250,0.01706406,0.42,84.97205,100000.00000
0.250,0.01706406,0.04,21.52696,100000.00000
0.250,0.01706406,0.54,33.55889,100000.00000
0.250,0.01706406,0.29,85.31310,100000.00000
0.250,0.01706406,0.33,20.16700,100000.00000
0.250,0.01706406,0.44,15.39154,100000.00000
0.250,0.01706406,0.41,62.34228,100000.00000
0.250,0.01706406,0.03,69.96191,100000.00000
0.250,0.01706406,0.48,85.68907,100000.00000
0.250,0.01706406,0.16,85.35129,100000.00000
0.250,0.01706406,0.11,70.75759,100000.00000
0.250,0.01706406,0.48,9.25665,100000.00000
0.250,0.01706406,0.10,98.77208,100000.00000
0.250,0.01706406,0.06,154.93150,100000.00000
0.250,0.01706406,0.39,97.69040,100000.00000
0.250,0.01706406,0.38,41.26525,100000.00000
0.250,0.01706406,0.51,149.20478,100000.00000
0.250,0.01706406,0.19,135.11066,100000.00000
0.250,0.01706406,0.28,106.18518,100000.00000
0.250,0.01706406,0.34,50.39624,100000.00000
0.250,0.01706406,0.05,163.36196,100000.00000
0.250,0.01706406,0.00,32.72849,100000.00000
0.250,0.01706406,0.14,94.00379,100000.00000
0.250,0.01706406,0.31,67.91115,100000.00000
0.250,0.01706406,0.45,46.69622,100000.00000
0.250,0.01706406,0.37,163.16498,100000.00000
0.250,0.01706406,0.46,177.19239,100000.00000
0.250,0.01706406,0.30,31.86189,100000.00000
0.250,0.01706406,0.33,64.09741,100000.00000
0.250,0.01706406,0.25,170.96398,100000.00000
0.250,0.01706406,0.06,75.13398,100000.00000
0.250,0.01706406,0.02,163.67767,100000.00000
0.250,0.01706406,0.37,60.28301,100000.00000
0.250,0.01706406,0.15,28.15867,100000.00000
0.250,0.01706406,0.12,153.20460,100000.00000
0.250,0.01706406,0.06,60.77073,100000.00000
0.250,0.01706406,0.12,173.99787,100000.00000
0.250,0.01706406,0.41,71.67037,100000.00000
0.250,0.01706406,0.44,120.94069,100000.00000
0.250,0.01706406,0.02,107.62200,100000.00000
0.250,0.01706406,0.14,6.46961,100000.00000
0.250,0.01706406,0.27,100.96883,100000.00000
0.250,0.01706406,0.38,19.91371,100000.00000
0.250,0.01706406,0.50,118.58101,100000.00000
0.250,0.01706406,0.02,89.13184,100000.00000
0.250,0.01706406,0.35,173.70484,100000.00000
0.250,0.01706406,0.42,11.82756,100000.00000
0.250,0.01706406,0.02,33.27380,100000.00000
0.250,0.01706406,0.47,1.97925,100000.00000
0.250,0.01706406,0.18,115.79188,100000.00000
0.250,0.01706406,0.28,78.74549,100000.00000
0.250,0.01706406,0.38,133.91033,100000.00000
0.250,0.01706406,0.36,32.62195,100000.00000
0.250,0.01706406,0.25,29.27105,100000.00000
0.250,0.01706406,0.14,160.20096,100000.00000
0.250,0.01706406,0.25,177.70970,100000.00000
0.250,0.01706406,0.20,162.45952,100000.00000
0.250,0.01706406,0.14,6.72267,100000.00000
0.250,0.01706406,0.13,178.20969,100000.00000
0.250,0.01706406,0.24,50.57337,100000.00000
0.250,0.01706406,0.17,29.32820,100000.00000
0.250,0.01706406,0.03,25.36636,100000.00000
0.250,0.01706406,0.21,15.13922,100000.00000
0.250,0.01706406,0.16,118.83553,100000.00000
0.250,0.01706406,0.03,177.63965,100000.00000
0.250,0.01706406,0.32,21.55718,100000.00000
0.250,0.01706406,0.54,178.41035,100000.00000
0.250,0.01706406,0.03,144.39546,100000.00000
0.250,0.01706406,0.45,99.36849,100000.00000
0.250,0.01706406,0.41,132.75023,100000.00000
0.250,0.01706406,0.08,92.17675,100000.00000
0.250,0.01706406,0.29,27.34248,100000.00000
0.250,0.01706406,0.30,143.89387,100000.00000
0.250,0.01706406,0.21,25.73850,100000.00000
0.250,0.01706406,0.01,82.09260,100000.00000
0.250,0.01706406,0.24,175.39106,100000.00000
0.250,0.01706406,0.32,58.94952,100000.00000
0.250,0.01706406,0.07,45.32081,100000.00000
0.250,0.01706406,0.07,137.09153,100000.00000
0.250,0.01706406,0.40,81.15109,100000.00000
0.250,0.01706406,0.46,3.31032,100000.00000
0.250,0.01706406,0.23,13.28338,100000.00000
0.250,0.01706406,0.42,37.78301,100000.00000
0.250,0.01706406,0.23,40.24725,100000.00000
0.250,0.01706406,0.25,55.71497,100000.00000
0.250,0.01706406,0.21,127.12360,100000.00000
0.250,0.01706406,0.54,41.52057,100000.00000
0.250,0.01706406,0.27,157.79765,100000.00000
0.250,0.01706406,0.52,95.20868,100000.00000
0.250,0.01706406,0.34,120.35578,100000.00000
0.250,0.01706406,0.18,57.41561,100000.00000
0.250,0.01706406,0.31,43.64469,100000.00000
0.250,0.01706406,0.37,69.10042,100000.00000
0.250,0.01706406,0.13,133.33835,100000.00000
0.250,0.01706406,0.48,101.95283,100000.00000
0.250,0.01706406,0.05,91.54272,100000.00000
0.250,0.01706406,0.26,150.89917,100000.00000
0.250,0.01706406,0.33,18.32084,100000.00000
0.250,0.01706406,0.26,146.32218,100000.00000
0.250,0.01706406,0.27,64.46929,100000.00000
0.250,0.01706406,0.10,0.91109,100000.00000
0.250,0.01706406,0.09,140.37760,100000.00000
0.250,0.01706406,0.30,113.02207,100000.00000
0.250,0.01706406,0.22,84.35892,100000.00000
0.250,0.01706406,0.28,2.61804,100000.00000
0.250,0.01706406,0.20,113.73070,100000.00000
0.250,0.01706406,0.28,71.37770,100000.00000
0.250,0.01706406,0.17,114.31686,100000.00000
0.250,0.01706406,0.01,141.33167,100000.00000
0.250,0.01706406,0.18,16.99973,100000.00000
0.250,0.01706406,0.05,135.99920,100000.00000
0.250,0.01706406,0.08,2.98581,100000.00000
0.250,0.01706406,0.24,13.99224,100000.00000
0.250,0.01706406,0.12,100.22423,100000.00000
0.250,0.01706406,0.28,26.47323,100000.00000
0.250,0.01706406,0.24,113.29175,100000.00000
0.250,0.01706406,0.53,7.57677,100000.00000
0.250,0.01706406,0.24,81.81739,100000.00000
0.250,0.01706406,0.52,112.95098,100000.00000
0.250,0.01706406,0.42,161.64977,100000.00000
0.250,0.01706406,0.21,16.41710,100000.00000
0.250,0.01706406,0.08,96.43944,100000.00000
0.250,0.01706406,0.11,113.60495,100000.00000
0.250,0.01706406,0.35,22.37350,100000.00000
0.250,0.01706406,0.41,104.50590,100000.00000
0.250,0.01706406,0.06,58.17653,100000.00000
0.250,0.01706406,0.23,174.47446,100000.00000
0.250,0.01706406,0.27,135.92471,100000.00000
0.250,0.01706406,0.19,66.96326,100000.00000
0.250,0.01706406,0.38,137.24256,100000.00000
0.250,0.01706406,0.17,90.56453,100000.00000
0.250,0.01706406,0.19,132.31279,100000.00000
0.250,0.01706406,0.51,53.52282,100000.00000
0.250,0.01706406,0.48,119.46081,100000.00000
0.250,0.01706406,0.43,139.59497,100000.00000
0.250,0.01706406,0.09,43.53341,100000.00000
0.250,0.01706406,0.17,8.15472,100000.00000
0.250,0.01706406,0.13,145.82041,100000.00000
0.250,0.01706406,0.30,157.24415,100000.00000
0.250,0.01706406,0.51,13.85158,100000.00000
0.250,0.01706406,0.22,177.59512,100000.00000
0.250,0.01706406,0.20,90.94543,100000.00000
0.250,0.01706406,0.23,94.98620,100000.00000
0.250,0.01706406,0.40,168.18606,100000.00000
0.250,0.01706406,0.26,179.39463,100000.00000
0.250,0.01706406,0.40,165.75154,100000.00000
0.250,0.01706406,0.21,137.07191,100000.00000
0.250,0.01706406,0.29,120.16039,100000.00000
0.250,0.01706406,0.02,98.40785,100000.00000
0.250,0.01706406,0.23,173.38006,100000.00000
0.250,0.01706406,0.42,119.43673,100000.00000
0.250,0.01706406,0.13,25.21512,100000.00000
0.250,0.01706406,0.17,31.17634,100000.00000
0.250,0.01706406,0.32,142.05082,100000.00000
0.250,0.01706406,0.35,45.83532,100000.00000
0.250,0.01706406,0.08,24.75377,100000.00000
0.250,0.01706406,0.54,170.05176,100000.00000
0.250,0.01706406,0.23,67.47670,100000.00000
0.250,0.01706406,0.43,94.39025,100000.00000
0.250,0.01706406,0.52,97.10843,100000.00000
0.250,0.01706406,0.25,148.05670,100000.00000
0.250,0.01706406,0.07,6.63965,100000.00000
0.250,0.01706406,0.15,95.64383,100000.00000
0.250,0.01706406,0.22,88.67252,100000.00000
0.250,0.01706406,0.43,27.94324,100000.00000
0.250,0.01706406,0.44,2.34035,100000.00000
0.250,0.01706406,0.07,50.15636,100000.00000
0.250,0.01706406,0.44,143.98489,100000.00000
0.250,0.01706406,0.53,42.97989,100000.00000
0.250,0.01706406,0.07,173.24051,100000.00000
0.250,0.01706406,0.39,32.68759,100000.00000
0.250,0.01706406,0.39,101.72397,100000.00000
0.250,0.01706406,0.02,6.18993,100000.00000
0.250,0.01706406,0.20,171.10929,100000.00000
0.250,0.01706406,0.14,138.59884,100000.00000
0.250,0.01706406,0.21,126.17444,100000.00000
0.250,0.01706406,0.37,112.98745,100000.00000
0.250,0.01706406,0.21,142.48423,100000.00000
0.250,0.01706406,0.30,50.14626,100000.00000
0.250,0.01706406,0.52,110.85537,100000.00000
0.250,0.01706406,0.10,128.19226,100000.00000
0.250,0.01706406,0.09,99.93615,100000.00000
0.250,0.01706406,0.46,143.97395,100000.00000
0.250,0.01706406,0.12,125.28536,100000.00000
0.250,0.01706406,0.37,134.56969,100000.00000
0.250,0.01706406,0.51,125.53565,100000.00000
0.250,0.01706406,0.07,9.26618,100000.00000
0.250,0.01706406,0.13,143.69313,100000.00000
