#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03682886,0.43,72.13735,1839.09230
0.250,0.03682886,0.49,13.52480,209.89202
0.250,0.03682886,0.27,111.65572,100000.00000
0.250,0.03682886,0.16,171.87575,100000.00000
0.250,0.03682886,0.32,3.61282,100000.00000
0.250,0.03682886,0.25,155.89150,100000.00000
0.250,0.03682886,0.11,118.37032,100000.00000
0.250,0.03682886,0.06,58.17653,100000.00000
0.250,0.03682886,0.38,133.91033,9143.59777
0.250,0.03682886,0.50,88.09649,8.25495
0.250,0.03682886,0.32,58.94952,85121.28272
0.250,0.03682886,0.29,27.34248,100000.00000
0.250,0.03682886,0.46,76.53843,106.39334
0.250,0.03682886,0.00,28.08336,100000.00000
0.250,0.03682886,0.15,58.13217,100000.00000
0.250,0.03682886,0.21,88.99565,100000.00000
0.250,0.03682886,0.22,84.35892,100000.00000
0.250,0.03682886,0.13,64.70841,100000.00000
0.250,0.03682886,0.43,155.12141,2079.62433
0.250,0.03682886,0.15,114.73738,100000.00000
0.250,0.03682886,0.22,177.48019,100000.00000
0.250,0.03682886,0.36,103.40516,2459.72396
0.250,0.03682886,0.23,173.38006,100000.00000
0.250,0.03682886,0.13,126.44714,100000.00000
0.250,0.03682886,0.13,25.21512,100000.00000
0.250,0.03682886,0.11,143.06603,100000.00000
0.250,0.03682886,0.36,11.96933,100000.00000
0.250,0.03682886,0.02,163.67767,100000.00000
0.250,0.03682886,0.43,73.57215,4238.92639
0.250,0.03682886,0.27,135.92471,100000.00000
0.250,0.03682886,0.47,162.00336,328.48187
0.250,0.03682886,0.41,62.45158,1887.85544
0.250,0.03682886,0.15,4.56313,100000.00000
0.250,0.03682886,0.27,109.11143,100000.00000
0.250,0.03682886,0.15,14.12215,100000.00000
0.250,0.03682886,0.27,139.01731,100000.00000
0.250,0.03682886,0.35,62.79629,21046.34600
0.250,0.03682886,0.39,45.32383,6875.75711
0.250,0.03682886,0.20,161.19418,100000.00000
0.250,0.03682886,0.38,157.81781,4956.92986
0.250,0.03682886,0.18,12.81396,100000.00000
0.250,0.03682886,0.17,105.43961,100000.00000
0.250,0.03682886,0.22,67.72673,100000.00000
0.250,0.03682886,0.41,75.40658,272.58503
0.250,0.03682886,0.03,20.85643,100000.00000
0.250,0.03682886,0.24,175.39106,100000.00000
0.250,0.03682886,0.46,25.08409,357.08531
0.250,0.03682886,0.04,131.32911,100000.00000
0.250,0.03682886,0.02,169.10981,100000.00000
0.250,0.03682886,0.10,58.57195,100000.00000
0.250,0.03682886,0.26,146.32218,100000.00000
0.250,0.03682886,0.12,167.09734,100000.00000
0.250,0.03682886,0.36,133.40172,39393.99204
0.250,0.03682886,0.18,16.99973,100000.00000
0.250,0.03682886,0.20,148.76234,100000.00000
0.250,0.03682886,0.25,146.48310,100000.00000
0.250,0.03682886,0.08,16.25216,100000.00000
0.250,0.03682886,0.03,0.99398,100000.00000
0.250,0.03682886,0.00,67.41722,100000.00000
0.250,0.03682886,0.48,70.07321,42.25872
0.250,0.03682886,0.49,44.35237,357.95485
0.250,0.03682886,0.17,154.16817,100000.00000
0.250,0.03682886,0.19,113.20971,100000.00000
0.250,0.03682886,0.41,0.83376,13127.22132
0.250,0.03682886,0.30,14.71663,100000.00000
0.250,0.03682886,0.16,64.07508,100000.00000
0.250,0.03682886,0.41,81.39923,11426.91289
0.250,0.03682886,0.11,47.73643,100000.00000
0.250,0.03682886,0.28,126.73436,100000.00000
0.250,0.03682886,0.40,81.15109,464.36536
0.250,0.03682886,0.11,160.56838,100000.00000
0.250,0.03682886,0.00,174.58377,100000.00000
0.250,0.03682886,0.19,157.94496,100000.00000
0.250,0.03682886,0.04,114.76035,100000.00000
0.250,0.03682886,0.06,76.87940,100000.00000
0.250,0.03682886,0.09,118.79713,100000.00000
0.250,0.03682886,0.15,45.04372,100000.00000
0.250,0.03682886,0.47,8.45387,466.47629
0.250,0.03682886,0.28,106.18518,100000.00000
0.250,0.03682886,0.05,33.58261,100000.00000
0.250,0.03682886,0.42,172.99266,2417.25930
0.250,0.03682886,0.01,65.94513,100000.00000
0.250,0.03682886,0.49,24.62735,128.95574
