#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03445273,0.44,161.34045,2181.85886
0.250,0.03445273,0.07,54.15810,100000.00000
0.250,0.03445273,0.17,85.22492,100000.00000
0.250,0.03445273,0.24,63.60340,100000.00000
0.250,0.03445273,0.35,95.86610,4159.61957
0.250,0.03445273,0.01,30.69434,100000.00000
0.250,0.03445273,0.01,141.33167,100000.00000
0.250,0.03445273,0.04,55.97682,100000.00000
0.250,0.03445273,0.08,7.33953,100000.00000
0.250,0.03445273,0.42,11.82756,2246.69965
0.250,0.03445273,0.38,143.51317,6802.19125
0.250,0.03445273,0.40,151.00166,9044.43430
0.250,0.03445273,0.13,143.69313,100000.00000
0.250,0.03445273,0.39,32.68759,20136.67725
0.250,0.03445273,0.23,178.73366,100000.00000
0.250,0.03445273,0.23,94.15761,100000.00000
0.250,0.03445273,0.07,163.48786,100000.00000
0.250,0.03445273,0.49,78.26892,119.39154
0.250,0.03445273,0.24,33.86181,100000.00000
0.250,0.03445273,0.14,112.12029,100000.00000
0.250,0.03445273,0.09,161.47985,100000.00000
0.250,0.03445273,0.02,6.18993,100000.00000
0.250,0.03445273,0.01,145.51152,100000.00000
0.250,0.03445273,0.33,94.41205,10990.92630
0.250,0.03445273,0.31,37.68288,100000.00000
0.250,0.03445273,0.48,85.68907,32.28323
0.250,0.03445273,0.32,77.69872,28750.85480
0.250,0.03445273,0.32,57.97425,70248.64805
0.250,0.03445273,0.21,142.48423,100000.00000
0.250,0.03445273,0.44,32.13804,608.94549
0.250,0.03445273,0.33,155.79128,61585.56168
0.250,0.03445273,0.32,21.55718,100000.00000
0.250,0.03445273,0.00,77.75010,100000.00000
0.250,0.03445273,0.42,134.99289,8590.97317
0.250,0.03445273,0.26,23.24870,100000.00000
0.250,0.03445273,0.13,157.92715,100000.00000
0.250,0.03445273,0.25,167.89113,100000.00000
0.250,0.03445273,0.44,117.49430,1723.83242
0.250,0.03445273,0.41,144.51362,2673.50395
0.250,0.03445273,0.50,32.50356,166.72164
0.250,0.03445273,0.21,127.12360,100000.00000
0.250,0.03445273,0.22,170.50474,100000.00000
0.250,0.03445273,0.40,166.60233,2471.82304
0.250,0.03445273,0.45,147.13984,2491.97871
0.250,0.03445273,0.15,150.47642,100000.00000
0.250,0.03445273,0.03,97.68529,100000.00000
0.250,0.03445273,0.14,64.83432,100000.00000
0.250,0.03445273,0.50,7.09683,38.05974
0.250,0.03445273,0.06,1.25138,100000.00000
0.250,0.03445273,0.22,88.67252,100000.00000
0.250,0.03445273,0.40,132.55996,323.97623
0.250,0.03445273,0.29,7.35635,100000.00000
0.250,0.03445273,0.50,33.32393,654.00330
0.250,0.03445273,0.12,169.28254,100000.00000
0.250,0.03445273,0.11,70.75759,100000.00000
0.250,0.03445273,0.29,176.40586,100000.00000
0.250,0.03445273,0.05,160.66062,100000.00000
0.250,0.03445273,0.47,107.53436,139.63520
0.250,0.03445273,0.14,83.80764,100000.00000
0.250,0.03445273,0.06,145.33923,100000.00000
0.250,0.03445273,0.18,69.87059,100000.00000
0.250,0.03445273,0.03,50.56821,100000.00000
0.250,0.03445273,0.34,100.21732,9250.67534
0.250,0.03445273,0.06,39.97941,100000.00000
0.250,0.03445273,0.50,6.11028,38.04939
0.250,0.03445273,0.49,125.04537,9.74656
0.250,0.03445273,0.23,21.15472,100000.00000
0.250,0.03445273,0.47,99.75204,58.36552
0.250,0.03445273,0.50,169.93068,26.43943
0.250,0.03445273,0.05,13.85638,100000.00000
0.250,0.03445273,0.43,79.33729,107.57971
0.250,0.03445273,0.32,15.64565,100000.00000
0.250,0.03445273,0.48,129.42826,93.18503
0.250,0.03445273,0.29,34.61202,100000.00000
0.250,0.03445273,0.25,110.41473,100000.00000
0.250,0.03445273,0.41,40.42887,4194.60990
0.250,0.03445273,0.36,157.89610,19883.59265
0.250,0.03445273,0.02,174.52523,100000.00000
0.250,0.03445273,0.01,92.56220,100000.00000
0.250,0.03445273,0.08,69.61236,100000.00000
0.250,0.03445273,0.17,88.49086,100000.00000
0.250,0.03445273,0.19,178.29093,100000.00000
0.250,0.03445273,0.50,124.60978,6.08707
0.250,0.03445273,0.09,61.39194,100000.00000
0.250,0.03445273,0.03,139.00406,100000.00000
0.250,0.03445273,0.37,96.02300,2220.92276
0.250,0.03445273,0.14,15.36254,100000.00000
0.250,0.03445273,0.48,53.48191,648.86862
0.250,0.03445273,0.36,29.45807,86375.78109
0.250,0.03445273,0.37,169.16978,9085.29430
0.250,0.03445273,0.33,177.57274,68112.21450
0.250,0.03445273,0.27,157.79765,100000.00000
0.250,0.03445273,0.14,16.91675,100000.00000
0.250,0.03445273,0.17,112.65479,100000.00000
0.250,0.03445273,0.35,58.02369,15472.30156
0.250,0.03445273,0.33,27.51465,100000.00000
0.250,0.03445273,0.20,70.05630,100000.00000
0.250,0.03445273,0.39,125.39715,8822.29233
0.250,0.03445273,0.17,12.70237,100000.00000
0.250,0.03445273,0.09,162.07525,100000.00000
0.250,0.03445273,0.03,149.17275,100000.00000
0.250,0.03445273,0.03,131.22129,100000.00000
0.250,0.03445273,0.10,29.09317,100000.00000
0.250,0.03445273,0.27,153.39267,100000.00000
0.250,0.03445273,0.25,123.25161,100000.00000
0.250,0.03445273,0.36,94.15178,12932.85816
0.250,0.03445273,0.39,110.06176,1827.70089
0.250,0.03445273,0.09,157.92108,100000.00000
0.250,0.03445273,0.00,155.91171,100000.00000
0.250,0.03445273,0.24,113.29175,100000.00000
