#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.280,0.00150,0.28000,0.00010,0.31051,7.11200e+09
0.283,0.00150,0.28300,0.00010,0.30313,7.62200e+09
0.286,0.00150,0.28600,0.00010,0.29574,8.16300e+09
0.289,0.00150,0.28900,0.00010,0.28835,8.73600e+09
0.292,0.00150,0.29200,0.00010,0.28097,9.34200e+09
0.295,0.00150,0.29500,0.00010,0.27358,9.98400e+09
0.298,0.00150,0.29507,0.00010,0.26619,1.00000e+10
0.301,0.00150,0.29507,0.00010,0.25880,1.00000e+10
0.304,0.00150,0.29507,0.00010,0.25142,1.00000e+10
0.307,0.00150,0.29507,0.00010,0.24403,1.00000e+10
0.310,0.00150,0.29507,0.00010,0.23664,1.00000e+10
0.313,0.00150,0.29507,0.00010,0.22925,1.00000e+10
0.160,0.00175,0.16009,0.00010,0.60601,1.60000e+08
0.163,0.00175,0.16314,0.00010,0.59862,1.81000e+08
0.316,0.00150,0.29507,0.00010,0.22187,1.00000e+10
0.166,0.00175,0.16602,0.00010,0.59123,2.03000e+08
0.319,0.00150,0.29507,0.00010,0.21448,1.00000e+10
0.169,0.00175,0.16900,0.00010,0.58385,2.28000e+08
0.172,0.00175,0.17203,0.00010,0.57646,2.56000e+08
0.175,0.00175,0.17507,0.00010,0.56907,2.87000e+08
0.322,0.00150,0.29507,0.00010,0.20709,1.00000e+10
0.178,0.00175,0.17801,0.00010,0.56168,3.20000e+08
0.325,0.00150,0.29507,0.00010,0.19970,1.00000e+10
0.181,0.00175,0.18102,0.00010,0.55430,3.57000e+08
0.184,0.00175,0.18407,0.00010,0.54691,3.98000e+08
0.328,0.00150,0.29507,0.00010,0.19232,1.00000e+10
0.187,0.00175,0.18705,0.00010,0.53952,4.42000e+08
0.190,0.00175,0.19004,0.00010,0.53213,4.90000e+08
0.331,0.00150,0.29507,0.00010,0.18493,1.00000e+10
0.193,0.00175,0.19300,0.00010,0.52475,5.42000e+08
0.196,0.00175,0.19604,0.00010,0.51736,6.00000e+08
0.199,0.00175,0.19902,0.00010,0.50997,6.62000e+08
0.202,0.00175,0.20203,0.00010,0.50259,7.30000e+08
0.334,0.00150,0.29507,0.00010,0.17754,1.00000e+10
0.205,0.00175,0.20501,0.00010,0.49520,8.03000e+08
0.337,0.00150,0.29507,0.00010,0.17016,1.00000e+10
0.208,0.00175,0.20803,0.00010,0.48781,8.83000e+08
0.343,0.00150,0.29507,0.00010,0.15538,1.00000e+10
0.346,0.00150,0.29507,0.00010,0.14799,1.00000e+10
0.211,0.00175,0.21102,0.00010,0.48042,9.69000e+08
0.349,0.00150,0.29507,0.00010,0.14061,1.00000e+10
0.214,0.00175,0.21401,0.00010,0.47304,1.06200e+09
0.217,0.00175,0.21702,0.00010,0.46565,1.16300e+09
0.352,0.00150,0.29507,0.00010,0.13322,1.00000e+10
0.355,0.00150,0.29507,0.00010,0.12583,1.00000e+10
0.220,0.00175,0.22000,0.00010,0.45826,1.27100e+09
0.223,0.00175,0.22300,0.00010,0.45087,1.38800e+09
0.358,0.00150,0.29507,0.00010,0.11844,1.00000e+10
0.340,0.00150,0.29507,0.00010,0.16277,1.00000e+10
0.226,0.00175,0.22600,0.00010,0.44349,1.51400e+09
0.229,0.00175,0.22901,0.00010,0.43610,1.65000e+09
0.361,0.00150,0.29507,0.00010,0.11106,1.00000e+10
0.232,0.00175,0.23201,0.00010,0.42871,1.79600e+09
0.235,0.00175,0.23500,0.00010,0.42132,1.95200e+09
0.238,0.00175,0.23801,0.00010,0.41394,2.12000e+09
0.364,0.00150,0.29507,0.00010,0.10367,1.00000e+10
0.241,0.00175,0.24101,0.00010,0.40655,2.30000e+09
0.244,0.00175,0.24401,0.00010,0.39916,2.49300e+09
0.367,0.00150,0.29507,0.00010,0.09628,1.00000e+10
0.247,0.00175,0.24701,0.00010,0.39178,2.69900e+09
0.370,0.00150,0.29507,0.00010,0.08889,1.00000e+10
0.250,0.00175,0.25000,0.00010,0.38439,2.91900e+09
0.253,0.00175,0.25301,0.00010,0.37700,3.15500e+09
0.256,0.00175,0.25601,0.00010,0.36961,3.40600e+09
0.373,0.00150,0.29507,0.00010,0.08151,1.00000e+10
0.259,0.00175,0.25901,0.00010,0.36223,3.67400e+09
0.262,0.00175,0.26200,0.00010,0.35484,3.95900e+09
0.265,0.00175,0.26501,0.00010,0.34745,4.26400e+09
0.376,0.00150,0.29507,0.00010,0.07412,1.00000e+10
0.268,0.00175,0.26800,0.00010,0.34006,4.58700e+09
0.271,0.00175,0.27101,0.00010,0.33268,4.93200e+09
0.379,0.00150,0.29507,0.00010,0.06673,1.00000e+10
0.382,0.00150,0.29507,0.00010,0.05934,1.00000e+10
0.274,0.00175,0.27400,0.00010,0.32529,5.29700e+09
0.277,0.00175,0.27700,0.00010,0.31790,5.68600e+09
0.280,0.00175,0.28000,0.00010,0.31051,6.09800e+09
0.286,0.00175,0.28601,0.00010,0.29574,7.00000e+09
0.283,0.00175,0.28300,0.00010,0.30313,6.53600e+09
0.289,0.00175,0.28900,0.00010,0.28835,7.49100e+09
0.292,0.00175,0.29200,0.00010,0.28097,8.01100e+09
0.295,0.00175,0.29500,0.00010,0.27358,8.56100e+09
0.298,0.00175,0.29800,0.00010,0.26619,9.14300e+09
0.301,0.00175,0.30100,0.00010,0.25880,9.75900e+09
0.304,0.00175,0.30213,0.00010,0.25142,1.00000e+10
0.307,0.00175,0.30213,0.00010,0.24403,1.00000e+10
0.310,0.00175,0.30213,0.00010,0.23664,1.00000e+10
0.160,0.00200,0.16010,0.00010,0.60601,1.40000e+08
0.313,0.00175,0.30213,0.00010,0.22925,1.00000e+10
0.316,0.00175,0.30213,0.00010,0.22187,1.00000e+10
0.163,0.00200,0.16309,0.00010,0.59862,1.58000e+08
0.166,0.00200,0.16608,0.00010,0.59123,1.78000e+08
0.322,0.00175,0.30213,0.00010,0.20709,1.00000e+10
0.169,0.00200,0.16907,0.00010,0.58385,2.00000e+08
0.172,0.00200,0.17203,0.00010,0.57646,2.24000e+08
0.325,0.00175,0.30213,0.00010,0.19970,1.00000e+10
0.319,0.00175,0.30213,0.00010,0.21448,1.00000e+10
0.175,0.00200,0.17505,0.00010,0.56907,2.51000e+08
0.178,0.00200,0.17801,0.00010,0.56168,2.80000e+08
0.181,0.00200,0.18108,0.00010,0.55430,3.13000e+08
0.328,0.00175,0.30213,0.00010,0.19232,1.00000e+10
0.184,0.00200,0.18404,0.00010,0.54691,3.48000e+08
