#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.241,0.00150,0.17954,0.01047,0.40655,1.00000e+10
0.244,0.00150,0.17957,0.01048,0.39916,1.00000e+10
0.250,0.00150,0.17963,0.01049,0.38439,1.00000e+10
0.253,0.00150,0.17966,0.01049,0.37700,1.00000e+10
0.256,0.00150,0.17968,0.01049,0.36961,1.00000e+10
0.259,0.00150,0.17971,0.01050,0.36223,1.00000e+10
0.262,0.00150,0.17973,0.01050,0.35484,1.00000e+10
0.265,0.00150,0.17975,0.01051,0.34745,1.00000e+10
0.268,0.00150,0.17977,0.01051,0.34006,1.00000e+10
0.271,0.00150,0.17979,0.01051,0.33268,1.00000e+10
0.277,0.00150,0.17982,0.01052,0.31790,1.00000e+10
0.280,0.00150,0.17984,0.01052,0.31051,1.00000e+10
0.286,0.00150,0.17987,0.01052,0.29574,1.00000e+10
0.274,0.00150,0.17981,0.01051,0.32529,1.00000e+10
0.283,0.00150,0.17986,0.01052,0.30313,1.00000e+10
0.247,0.00150,0.17960,0.01048,0.39178,1.00000e+10
0.289,0.00150,0.17988,0.01053,0.28835,1.00000e+10
0.292,0.00150,0.17990,0.01053,0.28097,1.00000e+10
0.295,0.00150,0.17991,0.01053,0.27358,1.00000e+10
0.298,0.00150,0.17992,0.01053,0.26619,1.00000e+10
0.301,0.00150,0.17993,0.01053,0.25880,1.00000e+10
0.304,0.00150,0.17994,0.01054,0.25142,1.00000e+10
0.307,0.00150,0.17995,0.01054,0.24403,1.00000e+10
0.310,0.00150,0.17996,0.01054,0.23664,1.00000e+10
0.313,0.00150,0.17997,0.01054,0.22925,1.00000e+10
0.316,0.00150,0.17997,0.01054,0.22187,1.00000e+10
0.319,0.00150,0.17998,0.01054,0.21448,1.00000e+10
0.322,0.00150,0.17999,0.01054,0.20709,1.00000e+10
0.325,0.00150,0.18000,0.01055,0.19970,1.00000e+10
0.328,0.00150,0.18000,0.01055,0.19232,1.00000e+10
0.331,0.00150,0.18001,0.01055,0.18493,1.00000e+10
0.334,0.00150,0.18001,0.01055,0.17754,1.00000e+10
0.340,0.00150,0.18002,0.01055,0.16277,1.00000e+10
0.337,0.00150,0.18002,0.01055,0.17016,1.00000e+10
0.343,0.00150,0.18003,0.01055,0.15538,1.00000e+10
0.346,0.00150,0.18003,0.01055,0.14799,1.00000e+10
0.349,0.00150,0.18004,0.01055,0.14061,1.00000e+10
0.355,0.00150,0.18005,0.01055,0.12583,1.00000e+10
0.358,0.00150,0.18005,0.01055,0.11844,1.00000e+10
0.361,0.00150,0.18005,0.01055,0.11106,1.00000e+10
0.352,0.00150,0.18004,0.01055,0.13322,1.00000e+10
0.160,0.00175,0.16000,0.00764,0.60601,4.20300e+09
0.367,0.00150,0.18006,0.01056,0.09628,1.00000e+10
0.364,0.00150,0.18005,0.01055,0.10367,1.00000e+10
0.376,0.00150,0.18006,0.01056,0.07412,1.00000e+10
0.373,0.00150,0.18006,0.01056,0.08151,1.00000e+10
0.370,0.00150,0.18006,0.01056,0.08889,1.00000e+10
0.163,0.00175,0.16300,0.00804,0.59862,4.75900e+09
0.379,0.00150,0.18007,0.01056,0.06673,1.00000e+10
0.166,0.00175,0.16600,0.00845,0.59123,5.37700e+09
0.169,0.00175,0.16900,0.00887,0.58385,6.06300e+09
0.172,0.00175,0.17200,0.00931,0.57646,6.82300e+09
0.382,0.00150,0.18007,0.01056,0.05934,1.00000e+10
0.175,0.00175,0.17500,0.00976,0.56907,7.66500e+09
0.178,0.00175,0.17800,0.01022,0.56168,8.59500e+09
0.181,0.00175,0.18100,0.01070,0.55430,9.62100e+09
0.184,0.00175,0.18213,0.01088,0.54691,1.00000e+10
0.187,0.00175,0.18226,0.01090,0.53952,1.00000e+10
0.190,0.00175,0.18239,0.01092,0.53214,1.00000e+10
0.193,0.00175,0.18250,0.01094,0.52475,1.00000e+10
0.196,0.00175,0.18260,0.01096,0.51736,1.00000e+10
0.199,0.00175,0.18270,0.01098,0.50997,1.00000e+10
0.205,0.00175,0.18287,0.01101,0.49520,1.00000e+10
0.202,0.00175,0.18279,0.01099,0.50259,1.00000e+10
0.208,0.00175,0.18295,0.01102,0.48781,1.00000e+10
0.217,0.00175,0.18315,0.01105,0.46565,1.00000e+10
0.214,0.00175,0.18308,0.01104,0.47304,1.00000e+10
0.211,0.00175,0.18302,0.01103,0.48042,1.00000e+10
0.220,0.00175,0.18320,0.01106,0.45826,1.00000e+10
0.223,0.00175,0.18326,0.01107,0.45087,1.00000e+10
0.229,0.00175,0.18335,0.01109,0.43610,1.00000e+10
