#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.199,0.00175,0.19901,0.00350,0.50997,6.61000e+08
0.202,0.00175,0.20200,0.00365,0.50259,7.31000e+08
0.340,0.00150,0.28967,0.00974,0.16277,1.00000e+10
0.205,0.00175,0.20502,0.00380,0.49520,8.08000e+08
0.343,0.00150,0.28981,0.00975,0.15538,1.00000e+10
0.346,0.00150,0.28995,0.00976,0.14799,1.00000e+10
0.349,0.00150,0.29008,0.00977,0.14061,1.00000e+10
0.208,0.00175,0.20800,0.00395,0.48781,8.91000e+08
0.337,0.00150,0.28951,0.00972,0.17016,1.00000e+10
0.352,0.00150,0.29020,0.00979,0.13322,1.00000e+10
0.211,0.00175,0.21101,0.00411,0.48042,9.82000e+08
0.214,0.00175,0.21401,0.00427,0.47304,1.08100e+09
0.217,0.00175,0.21702,0.00443,0.46565,1.18900e+09
0.220,0.00175,0.22000,0.00460,0.45826,1.30500e+09
0.355,0.00150,0.29032,0.00980,0.12583,1.00000e+10
0.223,0.00175,0.22300,0.00477,0.45087,1.43200e+09
0.226,0.00175,0.22601,0.00495,0.44349,1.57000e+09
0.229,0.00175,0.22901,0.00513,0.43610,1.71900e+09
0.232,0.00175,0.23200,0.00532,0.42871,1.88000e+09
0.358,0.00150,0.29042,0.00981,0.11844,1.00000e+10
0.235,0.00175,0.23500,0.00551,0.42133,2.05500e+09
0.238,0.00175,0.23801,0.00570,0.41394,2.24500e+09
0.361,0.00150,0.29052,0.00982,0.11106,1.00000e+10
0.241,0.00175,0.24100,0.00590,0.40655,2.44900e+09
0.244,0.00175,0.24401,0.00610,0.39916,2.67100e+09
0.247,0.00175,0.24700,0.00630,0.39178,2.91000e+09
0.364,0.00150,0.29061,0.00982,0.10367,1.00000e+10
0.250,0.00175,0.25001,0.00652,0.38439,3.16900e+09
0.253,0.00175,0.25300,0.00673,0.37700,3.44800e+09
0.256,0.00175,0.25600,0.00695,0.36961,3.75000e+09
0.367,0.00150,0.29069,0.00983,0.09628,1.00000e+10
0.259,0.00175,0.25900,0.00717,0.36223,4.07600e+09
0.262,0.00175,0.26200,0.00740,0.35484,4.42800e+09
0.370,0.00150,0.29077,0.00984,0.08889,1.00000e+10
0.373,0.00150,0.29084,0.00985,0.08151,1.00000e+10
0.265,0.00175,0.26500,0.00763,0.34745,4.80900e+09
0.376,0.00150,0.29091,0.00985,0.07412,1.00000e+10
0.379,0.00150,0.29096,0.00986,0.06673,1.00000e+10
0.268,0.00175,0.26800,0.00787,0.34006,5.22000e+09
0.382,0.00150,0.29101,0.00986,0.05935,1.00000e+10
0.271,0.00175,0.27100,0.00811,0.33268,5.66400e+09
0.274,0.00175,0.27400,0.00836,0.32529,6.14300e+09
0.277,0.00175,0.27700,0.00861,0.31790,6.66200e+09
0.280,0.00175,0.28000,0.00887,0.31052,7.22300e+09
0.283,0.00175,0.28300,0.00913,0.30313,7.83100e+09
0.286,0.00175,0.28600,0.00940,0.29574,8.48900e+09
0.289,0.00175,0.28900,0.00967,0.28835,9.20200e+09
0.292,0.00175,0.29200,0.00994,0.28097,9.97700e+09
0.295,0.00175,0.29244,0.00998,0.27358,1.00000e+10
0.298,0.00175,0.29278,0.01002,0.26619,1.00000e+10
0.301,0.00175,0.29311,0.01005,0.25880,1.00000e+10
0.304,0.00175,0.29342,0.01008,0.25142,1.00000e+10
0.307,0.00175,0.29371,0.01010,0.24403,1.00000e+10
0.310,0.00175,0.29399,0.01013,0.23664,1.00000e+10
0.160,0.00200,0.16009,0.00194,0.60601,1.35000e+08
0.313,0.00175,0.29426,0.01016,0.22925,1.00000e+10
0.163,0.00200,0.16313,0.00205,0.59862,1.53000e+08
0.316,0.00175,0.29451,0.01018,0.22187,1.00000e+10
0.166,0.00200,0.16603,0.00215,0.59123,1.72000e+08
0.319,0.00175,0.29474,0.01020,0.21448,1.00000e+10
0.169,0.00200,0.16906,0.00225,0.58385,1.94000e+08
0.172,0.00200,0.17205,0.00236,0.57646,2.18000e+08
0.175,0.00200,0.17509,0.00248,0.56907,2.45000e+08
0.178,0.00200,0.17805,0.00259,0.56168,2.74000e+08
0.322,0.00175,0.29497,0.01023,0.20709,1.00000e+10
0.181,0.00200,0.18103,0.00271,0.55430,3.06000e+08
0.184,0.00200,0.18407,0.00284,0.54691,3.42000e+08
0.325,0.00175,0.29518,0.01025,0.19970,1.00000e+10
0.187,0.00200,0.18706,0.00296,0.53952,3.81000e+08
0.190,0.00200,0.19001,0.00309,0.53214,4.23000e+08
0.193,0.00200,0.19302,0.00323,0.52475,4.70000e+08
0.331,0.00175,0.29557,0.01028,0.18493,1.00000e+10
0.196,0.00200,0.19601,0.00336,0.51736,5.21000e+08
0.334,0.00175,0.29575,0.01030,0.17754,1.00000e+10
0.337,0.00175,0.29592,0.01032,0.17016,1.00000e+10
0.199,0.00200,0.19901,0.00350,0.50997,5.77000e+08
0.202,0.00200,0.20201,0.00365,0.50259,6.38000e+08
0.340,0.00175,0.29608,0.01033,0.16277,1.00000e+10
0.328,0.00175,0.29538,0.01027,0.19232,1.00000e+10
0.343,0.00175,0.29623,0.01035,0.15538,1.00000e+10
0.205,0.00200,0.20503,0.00380,0.49520,7.05000e+08
0.346,0.00175,0.29637,0.01036,0.14799,1.00000e+10
0.208,0.00200,0.20800,0.00395,0.48781,7.77000e+08
0.211,0.00200,0.21100,0.00411,0.48042,8.56000e+08
0.349,0.00175,0.29651,0.01037,0.14061,1.00000e+10
0.214,0.00200,0.21401,0.00427,0.47304,9.42000e+08
0.352,0.00175,0.29663,0.01039,0.13322,1.00000e+10
0.217,0.00200,0.21700,0.00443,0.46565,1.03500e+09
0.220,0.00200,0.22002,0.00460,0.45826,1.13700e+09
0.223,0.00200,0.22302,0.00478,0.45087,1.24700e+09
0.355,0.00175,0.29675,0.01040,0.12583,1.00000e+10
0.226,0.00200,0.22602,0.00495,0.44349,1.36600e+09
0.358,0.00175,0.29685,0.01041,0.11844,1.00000e+10
0.229,0.00200,0.22902,0.00513,0.43610,1.49500e+09
0.232,0.00200,0.23201,0.00532,0.42871,1.63400e+09
0.235,0.00200,0.23501,0.00551,0.42133,1.78500e+09
0.238,0.00200,0.23800,0.00570,0.41394,1.94800e+09
0.361,0.00175,0.29695,0.01042,0.11106,1.00000e+10
0.241,0.00200,0.24101,0.00590,0.40655,2.12500e+09
0.364,0.00175,0.29705,0.01043,0.10367,1.00000e+10
0.244,0.00200,0.24401,0.00610,0.39916,2.31500e+09
0.247,0.00200,0.24701,0.00630,0.39178,2.52100e+09
0.250,0.00200,0.25001,0.00652,0.38439,2.74300e+09
0.253,0.00200,0.25301,0.00673,0.37700,2.98200e+09
0.367,0.00175,0.29713,0.01044,0.09628,1.00000e+10
0.256,0.00200,0.25600,0.00695,0.36961,3.24000e+09
0.259,0.00200,0.25900,0.00717,0.36223,3.51800e+09
0.370,0.00175,0.29721,0.01044,0.08889,1.00000e+10
0.262,0.00200,0.26200,0.00740,0.35484,3.81800e+09
0.265,0.00200,0.26500,0.00763,0.34745,4.14200e+09
0.373,0.00175,0.29728,0.01045,0.08151,1.00000e+10
0.268,0.00200,0.26801,0.00787,0.34006,4.49100e+09
