#nR_H,a_s,e_s,MA_s,tcol
0.250,0.02016585,0.56,130.21562,1000000.00000
0.250,0.02016585,0.46,21.19519,1000000.00000
0.250,0.02016585,0.21,15.13922,1000000.00000
0.250,0.02016585,0.10,116.93392,1000000.00000
0.250,0.02016585,0.55,16.46763,1000000.00000
0.250,0.02016585,0.17,12.70237,1000000.00000
0.250,0.02016585,0.19,139.75433,1000000.00000
0.250,0.02016585,0.36,119.73550,1000000.00000
0.250,0.02016585,0.18,3.27993,1000000.00000
0.250,0.02016585,0.19,167.53632,1000000.00000
0.250,0.02016585,0.27,64.46929,1000000.00000
0.250,0.02016585,0.57,62.60566,61150.60647
0.250,0.02016585,0.27,120.90612,1000000.00000
0.250,0.02016585,0.53,132.76481,1000000.00000
0.250,0.02016585,0.05,114.01268,1000000.00000
0.250,0.02016585,0.16,85.35129,1000000.00000
0.250,0.02016585,0.13,116.99351,1000000.00000
0.250,0.02016585,0.13,64.70841,1000000.00000
0.250,0.02016585,0.03,13.32804,1000000.00000
0.250,0.02016585,0.57,150.66240,1000000.00000
0.250,0.02016585,0.12,2.78219,1000000.00000
0.250,0.02016585,0.04,155.35862,1000000.00000
0.250,0.02016585,0.32,21.55718,1000000.00000
0.250,0.02016585,0.02,15.92865,1000000.00000
0.250,0.02016585,0.51,152.01889,1000000.00000
0.250,0.02016585,0.21,88.99565,1000000.00000
0.250,0.02016585,0.11,35.14374,1000000.00000
0.250,0.02016585,0.43,79.33729,1000000.00000
0.250,0.02016585,0.29,7.35635,1000000.00000
0.250,0.02016585,0.16,136.41230,1000000.00000
0.250,0.02016585,0.53,42.04939,1000000.00000
0.250,0.02016585,0.07,90.48222,1000000.00000
0.250,0.02016585,0.60,122.99317,7559.77406
0.250,0.02016585,0.37,83.28236,1000000.00000
0.250,0.02016585,0.20,80.72019,1000000.00000
0.250,0.02016585,0.38,27.30148,1000000.00000
0.250,0.02016585,0.57,125.54486,68439.61533
0.250,0.02016585,0.47,117.25567,1000000.00000
0.250,0.02016585,0.31,66.68498,1000000.00000
0.250,0.02016585,0.12,125.28536,1000000.00000
0.250,0.02016585,0.48,129.42826,1000000.00000
0.250,0.02016585,0.09,161.49884,1000000.00000
0.250,0.02016585,0.05,29.01983,1000000.00000
0.250,0.02016585,0.33,71.61401,1000000.00000
0.250,0.02016585,0.37,134.56969,1000000.00000
0.250,0.02016585,0.42,26.75929,1000000.00000
0.250,0.02016585,0.22,2.04366,1000000.00000
0.250,0.02016585,0.53,76.99916,1000000.00000
0.250,0.02016585,0.07,50.15636,1000000.00000
0.250,0.02016585,0.29,34.61202,1000000.00000
0.250,0.02016585,0.41,144.51362,1000000.00000
0.250,0.02016585,0.56,172.01727,1000000.00000
0.250,0.02016585,0.55,125.28371,1000000.00000
0.250,0.02016585,0.43,94.39025,1000000.00000
0.250,0.02016585,0.45,160.68091,1000000.00000
0.250,0.02016585,0.54,41.52057,786199.38414
0.250,0.02016585,0.24,177.51793,1000000.00000
0.250,0.02016585,0.52,179.62814,1000000.00000
0.250,0.02016585,0.00,94.45616,1000000.00000
0.250,0.02016585,0.26,49.21327,1000000.00000
0.250,0.02016585,0.17,114.31686,1000000.00000
0.250,0.02016585,0.02,139.52391,1000000.00000
0.250,0.02016585,0.05,163.36196,1000000.00000
0.250,0.02016585,0.28,106.18518,1000000.00000
0.250,0.02016585,0.12,167.09734,1000000.00000
0.250,0.02016585,0.27,41.15570,1000000.00000
0.250,0.02016585,0.42,2.35700,1000000.00000
0.250,0.02016585,0.23,134.28808,1000000.00000
0.250,0.02016585,0.53,39.28570,411864.52538
0.250,0.02016585,0.50,177.78024,1000000.00000
0.250,0.02016585,0.46,3.31032,1000000.00000
0.250,0.02016585,0.05,13.85638,1000000.00000
0.250,0.02016585,0.33,94.41205,1000000.00000
0.250,0.02016585,0.23,105.00638,1000000.00000
0.250,0.02016585,0.37,141.94750,1000000.00000
0.250,0.02016585,0.41,62.34228,1000000.00000
0.250,0.02016585,0.14,6.72267,1000000.00000
0.250,0.02016585,0.23,178.73366,1000000.00000
0.250,0.02016585,0.27,139.01731,1000000.00000
0.250,0.02016585,0.22,66.71559,1000000.00000
0.250,0.02016585,0.06,174.92077,1000000.00000
0.250,0.02016585,0.01,170.79940,1000000.00000
0.250,0.02016585,0.05,167.34558,1000000.00000
0.250,0.02016585,0.26,151.58141,1000000.00000
0.250,0.02016585,0.40,20.38285,1000000.00000
0.250,0.02016585,0.57,111.35005,1000000.00000
0.250,0.02016585,0.18,50.73386,1000000.00000
0.250,0.02016585,0.02,165.93736,1000000.00000
0.250,0.02016585,0.15,150.47642,1000000.00000
0.250,0.02016585,0.55,159.08146,724525.31827
0.250,0.02016585,0.39,32.68759,1000000.00000
0.250,0.02016585,0.28,162.74857,1000000.00000
0.250,0.02016585,0.04,138.77409,1000000.00000
0.250,0.02016585,0.60,117.81202,697030.82567
0.250,0.02016585,0.06,60.77073,1000000.00000
0.250,0.02016585,0.58,46.76465,1000000.00000
