#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01217904,0.42,74.63234,76.53966
0.250,0.01217904,0.19,77.21892,100000.00000
0.250,0.01217904,0.34,100.21732,100000.00000
0.250,0.01217904,0.14,94.00379,100000.00000
0.250,0.01217904,0.30,82.94018,100000.00000
0.250,0.01217904,0.13,92.04163,100000.00000
0.250,0.01217904,0.08,106.36073,100000.00000
0.250,0.01217904,0.53,170.99301,3.16576
0.250,0.01217904,0.21,13.09734,100000.00000
0.250,0.01217904,0.60,138.67334,0.09138
0.250,0.01217904,0.24,162.20844,100000.00000
0.250,0.01217904,0.23,174.47446,100000.00000
0.250,0.01217904,0.19,31.93912,100000.00000
0.250,0.01217904,0.42,101.67140,167.61028
0.250,0.01217904,0.04,21.52696,100000.00000
0.250,0.01217904,0.16,118.83553,100000.00000
0.250,0.01217904,0.01,54.83048,100000.00000
0.250,0.01217904,0.27,20.44037,100000.00000
0.250,0.01217904,0.31,67.91115,100000.00000
0.250,0.01217904,0.42,37.78301,26355.90765
0.250,0.01217904,0.16,44.59158,100000.00000
0.250,0.01217904,0.23,21.15472,100000.00000
0.250,0.01217904,0.25,155.89150,100000.00000
0.250,0.01217904,0.36,119.73550,100000.00000
0.250,0.01217904,0.25,163.96689,100000.00000
0.250,0.01217904,0.11,160.56838,100000.00000
0.250,0.01217904,0.02,163.67767,100000.00000
0.250,0.01217904,0.28,26.47323,100000.00000
0.250,0.01217904,0.11,31.87992,100000.00000
0.250,0.01217904,0.47,157.30021,73.63064
0.250,0.01217904,0.30,10.99403,100000.00000
0.250,0.01217904,0.56,130.21562,0.07071
0.250,0.01217904,0.29,31.01758,100000.00000
0.250,0.01217904,0.33,161.41778,100000.00000
0.250,0.01217904,0.09,130.67202,100000.00000
0.250,0.01217904,0.42,84.97205,1151.69798
0.250,0.01217904,0.43,72.13735,438.92377
0.250,0.01217904,0.23,94.98620,100000.00000
0.250,0.01217904,0.01,11.70929,100000.00000
