#e_p,R_H,f_stab
0.130,0.440,1.00000
0.130,0.450,1.00000
0.130,0.460,1.00000
0.130,0.470,1.00000
0.130,0.480,1.00000
0.130,0.490,1.00000
0.130,0.500,0.85000
0.130,0.510,0.85000
0.130,0.520,0.85000
0.130,0.530,0.85000
0.130,0.540,0.65000
0.130,0.550,0.85000
0.130,0.560,0.70000
0.130,0.570,0.55000
0.130,0.580,0.55000
0.130,0.590,0.40000
0.130,0.600,0.35000
0.130,0.610,0.30000
0.130,0.620,0.25000
0.130,0.630,0.15000
0.130,0.640,0.25000
0.130,0.650,0.15000
0.130,0.660,0.15000
0.130,0.670,0.10000
0.130,0.680,0.10000
0.130,0.690,0.10000
0.130,0.700,0.05000
0.140,0.250,1.00000
0.140,0.260,1.00000
0.140,0.270,1.00000
0.140,0.280,1.00000
0.140,0.290,1.00000
0.140,0.300,1.00000
0.140,0.310,1.00000
0.140,0.320,1.00000
0.140,0.330,1.00000
0.140,0.340,1.00000
0.140,0.350,1.00000
0.140,0.360,1.00000
0.140,0.370,1.00000
0.140,0.380,1.00000
0.140,0.390,1.00000
0.140,0.400,1.00000
0.140,0.410,1.00000
0.140,0.420,1.00000
0.140,0.430,1.00000
0.140,0.440,1.00000
0.140,0.450,1.00000
0.140,0.460,1.00000
0.140,0.470,1.00000
0.140,0.480,1.00000
0.140,0.490,1.00000
0.140,0.500,0.85000
0.140,0.510,0.75000
0.140,0.520,0.70000
0.140,0.530,0.85000
0.140,0.540,0.80000
0.140,0.550,0.50000
0.140,0.560,0.45000
0.140,0.570,0.45000
0.140,0.580,0.45000
0.140,0.590,0.45000
0.140,0.600,0.40000
0.140,0.610,0.20000
0.140,0.620,0.20000
0.140,0.630,0.25000
0.140,0.640,0.25000
0.140,0.650,0.30000
0.140,0.660,0.30000
0.140,0.670,0.30000
0.140,0.680,0.15000
0.140,0.690,0.15000
0.140,0.700,0.15000
0.150,0.250,1.00000
0.150,0.260,1.00000
0.150,0.270,1.00000
0.150,0.280,1.00000
0.150,0.290,1.00000
0.150,0.300,1.00000
0.150,0.310,1.00000
0.150,0.320,1.00000
0.150,0.330,1.00000
0.150,0.340,1.00000
0.150,0.350,1.00000
0.150,0.360,1.00000
0.150,0.370,1.00000
0.150,0.380,1.00000
0.150,0.390,1.00000
0.150,0.400,1.00000
0.150,0.410,1.00000
0.150,0.420,1.00000
0.150,0.430,1.00000
0.150,0.440,1.00000
0.150,0.450,1.00000
0.150,0.460,1.00000
0.150,0.470,1.00000
0.150,0.480,1.00000
0.150,0.490,1.00000
0.150,0.500,0.80000
0.150,0.510,0.75000
0.150,0.520,0.90000
0.150,0.530,0.90000
0.150,0.540,0.55000
0.150,0.550,0.55000
0.150,0.560,0.60000
0.150,0.570,0.50000
0.150,0.580,0.30000
0.150,0.590,0.30000
0.150,0.600,0.30000
0.150,0.610,0.40000
0.150,0.620,0.30000
0.150,0.630,0.10000
0.150,0.640,-0.05000
0.150,0.650,0.05000
0.150,0.660,0.20000
0.150,0.670,0.15000
0.150,0.680,0.25000
0.150,0.690,0.20000
0.150,0.700,0.15000
0.160,0.250,1.00000
0.160,0.260,1.00000
0.160,0.270,1.00000
0.160,0.280,1.00000
0.160,0.290,1.00000
0.160,0.300,1.00000
0.160,0.310,1.00000
0.160,0.320,1.00000
0.160,0.330,1.00000
0.160,0.340,1.00000
0.160,0.350,1.00000
0.160,0.360,1.00000
0.160,0.370,1.00000
0.160,0.380,1.00000
0.160,0.390,1.00000
0.160,0.400,1.00000
0.160,0.410,1.00000
0.160,0.420,1.00000
0.160,0.430,1.00000
0.160,0.440,1.00000
0.160,0.450,1.00000
0.160,0.460,1.00000
0.160,0.470,0.95000
0.160,0.480,1.00000
0.160,0.490,1.00000
0.160,0.500,0.80000
0.160,0.510,0.70000
0.160,0.520,0.80000
0.160,0.530,0.55000
0.160,0.540,0.55000
0.160,0.550,0.50000
0.160,0.560,0.55000
0.160,0.570,0.40000
0.160,0.580,0.40000
0.160,0.590,0.30000
0.160,0.600,0.25000
0.160,0.610,0.20000
0.160,0.620,0.20000
0.160,0.630,0.05000
0.160,0.640,0.15000
0.160,0.650,0.05000
0.160,0.660,0.25000
0.160,0.670,0.20000
0.160,0.680,0.20000
0.160,0.690,0.15000
0.160,0.700,0.15000
0.170,0.250,1.00000
0.170,0.260,1.00000
0.170,0.270,1.00000
0.170,0.280,1.00000
0.170,0.290,1.00000
0.170,0.300,1.00000
0.170,0.310,1.00000
0.170,0.320,1.00000
0.170,0.330,1.00000
0.170,0.340,1.00000
0.170,0.350,1.00000
0.170,0.360,1.00000
0.170,0.370,1.00000
0.170,0.380,1.00000
0.170,0.390,1.00000
0.170,0.400,1.00000
0.170,0.410,1.00000
0.170,0.420,1.00000
0.170,0.430,1.00000
0.170,0.440,1.00000
0.170,0.450,0.95000
0.170,0.460,0.80000
0.170,0.470,1.00000
0.170,0.480,1.00000
0.170,0.490,1.00000
0.170,0.500,0.65000
0.170,0.510,0.35000
0.170,0.520,0.40000
0.170,0.530,0.50000
0.170,0.540,0.35000
0.170,0.550,0.35000
0.170,0.560,0.35000
0.170,0.570,0.35000
0.170,0.580,0.25000
0.170,0.590,0.20000
0.170,0.600,0.20000
0.170,0.610,0.25000
0.170,0.620,0.15000
0.170,0.630,0.05000
0.170,0.640,0.05000
0.170,0.650,-0.05000
0.170,0.660,0.05000
0.170,0.670,0.15000
0.170,0.680,0.15000
0.170,0.690,0.15000
0.170,0.700,0.15000
0.180,0.250,1.00000
0.180,0.260,1.00000
0.180,0.270,1.00000
0.180,0.280,1.00000
0.180,0.290,1.00000
0.180,0.300,1.00000
0.180,0.310,1.00000
0.180,0.320,1.00000
0.180,0.330,1.00000
0.180,0.340,1.00000
0.180,0.350,1.00000
0.180,0.360,1.00000
0.180,0.370,1.00000
0.180,0.380,1.00000
0.180,0.390,1.00000
0.180,0.400,1.00000
0.180,0.410,1.00000
0.180,0.420,1.00000
0.180,0.430,1.00000
0.180,0.440,1.00000
0.180,0.450,1.00000
0.180,0.460,0.90000
0.180,0.470,1.00000
0.180,0.480,1.00000
0.180,0.490,1.00000
0.180,0.500,0.90000
0.180,0.510,0.75000
0.180,0.520,0.65000
0.180,0.530,0.50000
0.180,0.540,0.55000
0.180,0.550,0.60000
0.180,0.560,0.60000
0.180,0.570,0.50000
0.180,0.580,0.45000
0.180,0.590,0.45000
0.180,0.600,0.45000
0.180,0.610,0.30000
0.180,0.620,0.30000
0.180,0.630,0.15000
0.180,0.640,0.05000
0.180,0.650,0.10000
0.180,0.660,0.10000
0.180,0.670,0.25000
0.180,0.680,0.25000
0.180,0.690,0.20000
0.180,0.700,0.10000
0.190,0.250,1.00000
0.190,0.260,1.00000
0.190,0.270,1.00000
0.190,0.280,1.00000
0.190,0.290,1.00000
0.190,0.300,1.00000
0.190,0.310,1.00000
0.190,0.320,1.00000
0.190,0.330,1.00000
0.190,0.340,0.90000
0.190,0.350,1.00000
0.190,0.360,1.00000
0.190,0.370,1.00000
0.190,0.380,1.00000
0.190,0.390,1.00000
0.190,0.400,1.00000
0.190,0.410,1.00000
0.190,0.420,1.00000
0.190,0.430,1.00000
0.190,0.440,1.00000
0.190,0.450,1.00000
0.190,0.460,0.95000
0.190,0.470,0.95000
0.190,0.480,0.90000
