#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01217904,0.49,147.43842,1000000.00000
0.250,0.01217904,0.31,80.53423,1000000.00000
0.250,0.01217904,0.23,94.98620,1000000.00000
0.250,0.01217904,0.42,37.78301,1000000.00000
0.250,0.01217904,0.12,168.50786,1000000.00000
0.250,0.01217904,0.52,138.09389,1000000.00000
0.250,0.01217904,0.02,46.58040,1000000.00000
0.250,0.01217904,0.47,37.15583,1000000.00000
0.250,0.01217904,0.30,31.86189,1000000.00000
0.250,0.01217904,0.21,18.20208,1000000.00000
0.250,0.01217904,0.40,168.18606,1000000.00000
0.250,0.01217904,0.53,75.19802,1000000.00000
0.250,0.01217904,0.34,100.21732,1000000.00000
0.250,0.01217904,0.01,11.70929,1000000.00000
0.250,0.01217904,0.47,157.30021,1000000.00000
0.250,0.01217904,0.10,28.94545,1000000.00000
0.250,0.01217904,0.39,72.15326,1000000.00000
0.250,0.01217904,0.44,149.43958,1000000.00000
0.250,0.01217904,0.27,20.44037,1000000.00000
0.250,0.01217904,0.31,95.78043,1000000.00000
0.250,0.01217904,0.33,73.87143,1000000.00000
0.250,0.01217904,0.57,62.60566,395306.36018
0.250,0.01217904,0.10,98.77208,1000000.00000
0.250,0.01217904,0.37,25.06897,1000000.00000
0.250,0.01217904,0.19,144.62657,1000000.00000
0.250,0.01217904,0.22,177.59512,1000000.00000
0.250,0.01217904,0.18,152.07756,1000000.00000
0.250,0.01217904,0.10,1.65547,1000000.00000
0.250,0.01217904,0.15,9.30271,1000000.00000
0.250,0.01217904,0.19,113.20971,1000000.00000
0.250,0.01217904,0.37,21.04165,1000000.00000
0.250,0.01217904,0.30,145.11623,1000000.00000
0.250,0.01217904,0.12,153.20460,1000000.00000
0.250,0.01217904,0.58,176.61351,1000000.00000
0.250,0.01217904,0.27,120.90612,1000000.00000
0.250,0.01217904,0.55,40.28717,1000000.00000
0.250,0.01217904,0.27,109.11143,1000000.00000
0.250,0.01217904,0.41,81.39923,1000000.00000
0.250,0.01217904,0.25,130.62951,1000000.00000
0.250,0.01217904,0.28,46.48399,1000000.00000
0.250,0.01217904,0.26,155.65003,1000000.00000
0.250,0.01217904,0.00,77.75010,1000000.00000
0.250,0.01217904,0.29,43.22621,1000000.00000
0.250,0.01217904,0.48,70.07321,1000000.00000
0.250,0.01217904,0.08,168.61140,1000000.00000
0.250,0.01217904,0.14,6.46961,1000000.00000
0.250,0.01217904,0.23,2.18780,1000000.00000
0.250,0.01217904,0.25,29.27105,1000000.00000
0.250,0.01217904,0.24,125.23476,1000000.00000
0.250,0.01217904,0.58,51.66686,1000000.00000
0.250,0.01217904,0.24,160.24748,1000000.00000
0.250,0.01217904,0.00,155.91171,1000000.00000
0.250,0.01217904,0.57,48.06509,1000000.00000
0.250,0.01217904,0.22,2.04366,1000000.00000
0.250,0.01217904,0.50,7.09683,1000000.00000
0.250,0.01217904,0.48,9.25665,1000000.00000
0.250,0.01217904,0.59,167.76506,1000000.00000
0.250,0.01217904,0.51,174.79048,1000000.00000
0.250,0.01217904,0.02,35.27692,1000000.00000
0.250,0.01217904,0.24,175.39106,1000000.00000
0.250,0.01217904,0.02,163.67767,1000000.00000
0.250,0.01217904,0.60,122.48987,18738.72443
0.250,0.01217904,0.16,118.83553,1000000.00000
0.250,0.01217904,0.47,132.84605,1000000.00000
0.250,0.01217904,0.02,6.18993,1000000.00000
0.250,0.01217904,0.18,122.94122,1000000.00000
0.250,0.01217904,0.51,61.17749,1000000.00000
0.250,0.01217904,0.13,125.46283,1000000.00000
0.250,0.01217904,0.09,113.95826,1000000.00000
0.250,0.01217904,0.50,88.09649,1000000.00000
0.250,0.01217904,0.34,46.42251,1000000.00000
0.250,0.01217904,0.39,101.72397,1000000.00000
0.250,0.01217904,0.26,10.14759,1000000.00000
0.250,0.01217904,0.07,120.98440,1000000.00000
0.250,0.01217904,0.35,74.13137,1000000.00000
0.250,0.01217904,0.04,136.94131,1000000.00000
