#nR_H,a_s,e_s,MA_s,tcol
0.250,0.02016585,0.43,79.33729,328.03763
0.250,0.02016585,0.31,87.21414,100000.00000
0.250,0.02016585,0.55,71.32356,1.39073
0.250,0.02016585,0.09,130.67202,100000.00000
0.250,0.02016585,0.14,138.59884,100000.00000
0.250,0.02016585,0.60,3.98224,1.40463
0.250,0.02016585,0.55,104.41552,0.16457
0.250,0.02016585,0.06,41.02833,100000.00000
0.250,0.02016585,0.20,162.45952,100000.00000
0.250,0.02016585,0.30,113.02207,100000.00000
0.250,0.02016585,0.23,94.15761,100000.00000
0.250,0.02016585,0.25,145.89960,100000.00000
0.250,0.02016585,0.57,62.60566,2.68178
0.250,0.02016585,0.13,116.99351,100000.00000
0.250,0.02016585,0.01,11.70929,100000.00000
0.250,0.02016585,0.03,139.00406,100000.00000
0.250,0.02016585,0.04,155.35862,100000.00000
0.250,0.02016585,0.08,113.81505,100000.00000
0.250,0.02016585,0.13,64.70841,100000.00000
0.250,0.02016585,0.33,109.03947,52608.02449
0.250,0.02016585,0.28,88.58093,90764.78203
0.250,0.02016585,0.47,75.37869,3.91721
0.250,0.02016585,0.00,94.45616,100000.00000
0.250,0.02016585,0.06,93.38231,100000.00000
0.250,0.02016585,0.03,13.32804,100000.00000
0.250,0.02016585,0.48,129.42826,34.77744
0.250,0.02016585,0.54,41.52057,1.65265
0.250,0.02016585,0.18,152.07756,100000.00000
0.250,0.02016585,0.29,34.61202,100000.00000
0.250,0.02016585,0.46,3.31032,2237.25256
0.250,0.02016585,0.10,116.93392,100000.00000
0.250,0.02016585,0.51,152.01889,29.64334
0.250,0.02016585,0.38,102.58014,87411.49922
0.250,0.02016585,0.09,147.10000,100000.00000
0.250,0.02016585,0.10,28.94545,100000.00000
0.250,0.02016585,0.39,32.68759,30028.55879
0.250,0.02016585,0.07,90.48222,100000.00000
0.250,0.02016585,0.55,125.28371,0.15993
0.250,0.02016585,0.31,66.68498,98830.69947
0.250,0.02016585,0.04,76.95738,100000.00000
0.250,0.02016585,0.05,114.01268,100000.00000
0.250,0.02016585,0.09,20.42523,100000.00000
0.250,0.02016585,0.37,96.02300,9670.31753
0.250,0.02016585,0.25,123.25161,100000.00000
0.250,0.02016585,0.20,80.72019,100000.00000
0.250,0.02016585,0.45,160.68091,451.51561
0.250,0.02016585,0.41,62.34228,1341.26538
0.250,0.02016585,0.28,78.74549,100000.00000
0.250,0.02016585,0.43,48.73404,3013.45414
0.250,0.02016585,0.41,81.39923,7335.64457
0.250,0.02016585,0.58,148.64702,1.32583
0.250,0.02016585,0.38,27.30148,69254.47912
0.250,0.02016585,0.52,179.62814,21.48904
0.250,0.02016585,0.12,125.28536,100000.00000
0.250,0.02016585,0.12,2.78219,100000.00000
0.250,0.02016585,0.14,67.60493,100000.00000
0.250,0.02016585,0.05,56.58408,100000.00000
0.250,0.02016585,0.58,176.61351,6.38112
0.250,0.02016585,0.14,6.72267,100000.00000
0.250,0.02016585,0.60,117.81202,0.09735
0.250,0.02016585,0.23,178.73366,100000.00000
0.250,0.02016585,0.14,104.09042,100000.00000
0.250,0.02016585,0.55,16.46763,10.24965
0.250,0.02016585,0.19,139.75433,100000.00000
0.250,0.02016585,0.34,76.57856,100000.00000
0.250,0.02016585,0.23,105.00638,100000.00000
0.250,0.02016585,0.55,159.08146,2.59139
0.250,0.02016585,0.30,7.07618,100000.00000
0.250,0.02016585,0.51,13.85158,21.96653
0.250,0.02016585,0.47,162.00336,24.57646
0.250,0.02016585,0.51,61.17749,2.79304
0.250,0.02016585,0.32,116.26510,98924.59206
0.250,0.02016585,0.26,49.21327,100000.00000
0.250,0.02016585,0.53,39.28570,5.21986
0.250,0.02016585,0.09,161.49884,100000.00000
0.250,0.02016585,0.03,144.39546,100000.00000
0.250,0.02016585,0.23,40.24725,100000.00000
0.250,0.02016585,0.55,10.41168,7.02780
0.250,0.02016585,0.48,53.48191,37.51021
0.250,0.02016585,0.26,10.14759,100000.00000
0.250,0.02016585,0.40,166.60233,8281.11148
0.250,0.02016585,0.27,64.46929,97677.43250
0.250,0.02016585,0.28,70.60393,100000.00000
0.250,0.02016585,0.22,66.71559,100000.00000
0.250,0.02016585,0.33,71.61401,67230.56865
0.250,0.02016585,0.20,90.94543,100000.00000
0.250,0.02016585,0.05,29.01983,100000.00000
0.250,0.02016585,0.17,114.31686,100000.00000
0.250,0.02016585,0.17,12.70237,100000.00000
0.250,0.02016585,0.11,35.14374,100000.00000
0.250,0.02016585,0.13,126.44714,100000.00000
0.250,0.02016585,0.58,133.83149,0.13907
0.250,0.02016585,0.27,171.72919,100000.00000
0.250,0.02016585,0.42,26.75929,15390.35736
0.250,0.02016585,0.42,2.35700,7264.40460
0.250,0.02016585,0.34,51.95350,100000.00000
0.250,0.02016585,0.20,1.95078,100000.00000
0.250,0.02016585,0.19,178.29093,100000.00000
0.250,0.02016585,0.28,141.05754,100000.00000
0.250,0.02016585,0.58,1.14946,1.44636
0.250,0.02016585,0.15,150.47642,100000.00000
0.250,0.02016585,0.05,163.36196,100000.00000
0.250,0.02016585,0.27,111.26308,100000.00000
0.250,0.02016585,0.22,139.88645,100000.00000
0.250,0.02016585,0.37,134.56969,92290.41835
0.250,0.02016585,0.20,113.73070,100000.00000
0.250,0.02016585,0.21,111.27925,100000.00000
0.250,0.02016585,0.25,75.28375,100000.00000
0.250,0.02016585,0.52,142.33017,2.60993
0.250,0.02016585,0.28,106.18518,100000.00000
0.250,0.02016585,0.02,139.52391,100000.00000
0.250,0.02016585,0.06,174.92077,100000.00000
0.250,0.02016585,0.34,27.78529,94188.63032
0.250,0.02016585,0.21,88.99565,100000.00000
